Date,Topic,Materials,Due
"Monday, June 11",Inference for comparing two proportions,"<a href=""post/slides/u5_deck1H.pdf"">Deck 5.1</a> +  <a href=""post/app/app_Single_prop_inf.pdf"">App 5.1</a>",PS 4
,<b>Lab:</b>Project Proposal,,
"Tuesday, June 12",Chi-square testing,"<a href=""post/slides/u5_deck2H.pdf"">Deck 5.2</a> +  <a href=""post/app/app_Two_prop_inf.pdf"">App 5.2</a>",
"Wednesday, June 13",Midterm 2 Review Session,"<a href=""post/slides/u5_deck3H.pdf"">Deck 5.3</a> +  <a href=""post/app/app_Chisq_tests.pdf"">App 5.3</a>",PE 2
"Thursday, June 14",<b>Midterm 1 (in class) </b>,"<a href=""post/labs/lab5.html"">Lab 5</a>",PA 5
,<b>Lab:</b> Lab 7: Inference for categorical data,,
<b>UNIT 6:</b>,<b>Introduction to linear regression</b>,Videos:,
,,Learning Objectives (LO):,
,,Problem set 1:,
,,Performance Assessment 1:,
"Friday, June 15",<b>RA 6</b> + Introduction to regression,"<a href=""post/slides/u6_deck1H.pdf"">Deck 6.1</a> +  <a href=""post/app/app_Lin_mod.pdf"">App 6.1</a>",
"Monday, June 18",Outliers & Inference for SLR,,PS 5
,<b>Lab:</b> Lab 8: Introduction to linear regression,,
<b>UNIT 7:</b>,Multiple linear regression</b>,Videos:,
,,Learning Objectives (LO):,
,,Problem set 1:,
,,Performance Assessment 1:,
"Tuesday, June 19",<b>RA 7</b> + Introduction to MLR + Model selection,"<a href=""post/labs/lab6.html"">Lab 6</a>",
"Wednesday, June 20",Model selection & diagnostics,"<a href=""post/slides/u6_deck2H.pdf"">Deck 6.2</a> +  <a href=""post/app/app_Lin_reg.pdf"">App 6.2</a>",
"Thursday, June 21",Transformation and case studies,"<a href=""post/slides/u7_deck1H.pdf"">Deck 7.1</a> +  <a href=""post/app/app_MLR_interpret.pdf"">App 7.1</a>",
,<b>Lab:</b> Lab 9: Multiple Linear Regression,,
"Friday, June 22",Review session,"<a href=""post/labs/lab7.html"">Lab 7</a>",PA 6
"Monday, June 25",Revies Session,"<a href=""post/slides/u7_deck2H.pdf"">Deck 7.2</a> +  <a href=""post/app/app_MLR.pdf"">App 7.2</a>",PS 6 + PA 7
,Project presentations,,
"Tuesday, June 26",Reading Day,,
"Wednesday, June 27",<b>Final Exam</b>,"<a href=""https://sakai.duke.edu/access/content/group/ef372254-413e-42f6-b414-f8bc91a58fa0/Final/Practice%20Problems%20-%20MT2.pdf"">Practice Problems for MT2</a> + <a href=""https://sakai.duke.edu/access/content/group/ef372254-413e-42f6-b414-f8bc91a58fa0/Final/MT2.pdf"">Sample MT2</a> + <a href=""https://sakai.duke.edu/access/content/group/ef372254-413e-42f6-b414-f8bc91a58fa0/Final/MT2%20-Key.pdf"">Sample MT2 - Key</a> + <a href=""https://sakai.duke.edu/access/content/group/ef372254-413e-42f6-b414-f8bc91a58fa0/Final/FR.pdf"">Final Review Problems</a> + <a href=""https://sakai.duke.edu/access/content/group/ef372254-413e-42f6-b414-f8bc91a58fa0/Final/FR-Key.pdf"">Final Review Problems - Key</a>",
